一	イ	イチ	イツ/イッ	イル	カズ	カツ	カヅ	テン	ハジメ	ヒ	ヒト	ヒトツ/ヒトッ	マコト
丁	チ	チョウ	チン	テイ	トウ	ヒノト	ヨロ
丂	コウ	サマタ
七	シ	シチ	シッ	ナ	ナナ	ナノ	ヒチ
丄	ア	ウエ	ウワ	カミ	ショウ/ジョウ	ノボ	ヨ
丅	オ	カ	クダ	ゲ	サ	シタ	シモ	モト
万	アラ	カズ	バン	マ	マン	ユル	ヨロズ
丈	ジョウ	タケ/ダケ	トモ	マスラ
三	カ	サ/ザ	サイ	サエ/ザエ	サブ/ザブ	サン/ザン	ソウ/ゾウ	ゾ	タダ	ミ	ミツ/ミッ	ミン	モ	ヤ
上	ア/アガ	アオイ	アガ/アガリ	アゲ	イ	ウエ	ウワ	エ	カ/ガ	カキ	カズ	カノ	カミ/ガミ	カミノ	カムラ	カン	コウ	シャン	ショウ/ジョウ	タテマツ	ノボ/ノボル	ノボリ	ホツ
下	オ/オリ/オロ	カ/ガ	クダ	ゲ	ゲノ	サ	サカ/サガ	シ	シタ/ジタ	シト	シモ/ジモ	モト
丌	キ	ゴ	ソ	ダイ
不	フ/ブ
与	アズ	アズカ	アタ	クミ/グミ	トモ	トモニ	ユ	ヨ
丐	カイ/ガイ	コ
丑	ウシ	チュウ	ヒロ
丒	ウシ	チュウ
且	アキ	カ	カツ	ショ	ショウ	ソ
丕	オオ	ヒ
世	セ/ゼ	セイ	ソウ	トシ	ユ	ユキ	ヨ
丗	サンジュウ	セ	セイ	ソウ	ヨ
丘	オカ	キュウ	タカシ
丙	ヒノエ	ヘイ
丞	ショウ/ジョウ	スク	スケ	ススム	タス
丟	サル	チュ	チュウ	ナゲウ
両	テル	フタツ	モロ	リョウ
丣	トリ	ユウ
两	テ	フタツ	リョウ
並	ナ	ナビ	ナミ	ナラ	ヘイ	ホウ
丨	コン	シ	シリゾ	ジョ	スス	ニョ	ボウ
个	カ	コ
丫	ア	アゲマキ	フタマタ	ヤ
中	アタ	アタル	ウチ	カナエ	ジュウ	チュウ	ナカ/ナガ
丮	キャク	ケキ	ト	モ
丯	カイ	サンラン
丰	シゲ	フ	フウ	ホウ	ミメヨ
丱	カン	ケン
串	カン	クシ/グシ	ケン	セン	ツラヌ
丵	クサノムラガリ	サク
丶	チュ	テン
丸	ガン	マ	マル	マルバエ	ワ	ワニ
丹	タ	タミ	タン/ダン	ニ	マコト
